sgRNA	Gene	sample1_7day	sample1_21day
HGLibB_43873	SH3BP1	2	0
HGLibB_24965	KIRREL	2	0
HGLibB_35584	PCMTD2	2	0
HGLibB_29931	MRPL39	2	0
HGLibB_06135	C2orf49	2	0
HGLibB_01102	AFAP1L2	2	0
HGLibB_40743	REG1A	1	0
HGLibB_09218	CES4A	2	0
HGLibB_09435	CHIC1	2	0
HGLibB_41596	RNF224	2	0
HGLibB_24321	KCNN1	2	0
HGLibB_43812	SGSM3	2	0
HGLibB_24506	KDM8	2	0
HGLibB_47574	STX18	2	0
HGLibB_43102	SDK2	2	0
HGLibB_07183	CAPRIN1	2	0
HGLibB_44323	SLC12A7	2	0
HGLibB_50504	TMEM95	2	0
HGLibB_23934	JMJD8	1	0
HGLibB_38413	PRH1	2	0
HGLibB_55851	ZNF397	2	0
HGLibB_30684	MYH4	2	0
HGLibB_48898	TECTB	2	0
HGLibB_39444	PTPRCAP	2	0
HGLibB_09887	CLDN3	2	0
HGLibB_19305	GLT1D1	2	0
HGLibB_53911	WBP2	2	0
HGLibB_02433	APLN	2	0
HGLibB_17358	FGF17	2	0
HGLibB_36907	PLAGL1	2	0
HGLibB_28589	MCMBP	2	0
HGLibB_01928	ANHX	2	0
HGLibB_23302	INPP1	2	0
HGLibB_19621	GOLGB1	2	0
HGLibB_46448	SPATA31E1	2	0
HGLibB_51678	TRPC5OS	2	0
HGLibB_50165	TMEM217	2	0
HGLibB_35224	PATE1	2	0
HGLibB_45779	SMTN	2	0
HGLibB_37340	PNMT	2	2
HGLibB_01935	ANK2	2	0
HGLibB_05556	C17orf66	2	0
HGLibB_39455	PTPRG	2	0
HGLibB_54306	WNT5A	2	0
HGLibB_15266	EPHA10	2	0
HGLibB_15117	ENO1	2	0
HGLibB_09934	CLEC18A	2	0
HGLibB_00980	ADIPOR2	2	0
HGLibB_18521	GALNT15	2	0
HGLibB_33329	OLIG3	2	2
HGLibB_55911	ZNF430	2	0
HGLibB_49717	TMCC3	2	0
HGLibB_36679	PIPOX	2	0
HGLibB_32848	NUAK1	2	0
HGLibB_36422	PHYH	4	0
HGLibB_41864	RPL26L1	2	0
HGLibB_31013	NADSYN1	2	0
HGLibB_48144	TAF12	2	0
HGLibB_33911	OR4C45	2	0
HGLibB_09233	CETP	2	0
HGLibB_01312	AHSA1	2	0
HGLibB_12209	CYS1	2	0
HGLibB_32950	NUDT9	2	0
HGLibB_51473	TRIM50	2	0
HGLibB_27161	LRP10	2	0
HGLibB_49447	TIMM21	2	0
HGLibB_23486	IQCH	2	0
HGLibB_00147	ABCB6	1	0
HGLibB_06811	CA5B	2	0
HGLibB_31099	NAPSA	2	0
HGLibB_20106	GPRC5D	2	0
HGLibB_28216	MAPK12	2	0
HGLibB_03041	ARMCX3	2	0
HGLibB_47588	STX3	2	0
HGLibB_54499	XPO4	2	0
HGLibB_50900	TOMM34	2	0
HGLibB_39080	PSMC2	1	0
HGLibB_56487	ZNF692	2	0
HGLibB_21671	HMGB4	2	0
HGLibB_43197	SEC61A2	2	0
HGLibB_21381	HIST1H2AM	2	0
HGLibB_12431	DCAF4L2	2	0
HGLibB_30346	MTHFR	2	0
HGLibB_11896	CXorf23	2	0
HGLibB_31400	NDUFA11	2	0
HGLibB_50486	TMEM8A	2	0
HGLibB_48598	TBX2	2	0
HGLibB_20133	GPSM3	2	0
HGLibB_22597	IFIT2	2	0
HGLibB_35626	PCSK2	2	0
HGLibB_37013	PLEK2	2	0
HGLibB_18094	FTH1P18	2	0
HGLibB_12643	DDX17	2	0
HGLibB_54612	YIPF4	2	0
HGLibB_43084	SDHAF1	2	0
HGLibB_26778	LOC100287036	2	0
HGLibB_30823	MYO7B	2	0
HGLibB_52100	TTC9C	2	0
HGLibB_55805	ZNF362	2	0
HGLibB_43532	SERPINF1	2	0
HGLibB_27665	LYN	2	0
HGLibB_13152	DHX16	2	0
HGLibB_26092	LCE3A	2	0
HGLibB_46216	SOX7	2	0
HGLibB_55158	ZFP62	2	0
HGLibB_27463	LRTM2	2	0
HGLibB_17045	FBXO31	2	0
HGLibB_14387	ECI2	2	0
HGLibB_31761	NFIB	2	0
HGLibB_42824	SCARF2	2	0
HGLibB_03651	ATP5F1	2	0
HGLibB_40771	RELL2	2	0
HGLibB_15841	F2R	2	0
HGLibB_14458	EDNRB	1	0
HGLibB_25637	KRTAP19-4	2	0
HGLibB_43177	SEC24A	2	0
HGLibB_43357	SEPHS1	2	0
HGLibB_33268	OGFOD3	2	0
HGLibB_25255	KLRC3	2	0
HGLibB_26687	LMTK2	2	0
HGLibB_51798	TSHZ1	2	0
HGLibB_16898	FATE1	2	0
HGLibB_13301	DLEC1	2	0
HGLibB_45124	SLC45A3	2	0
HGLibB_03383	ASUN	2	0
HGLibB_48406	TBC1D10A	2	0
HGLibB_45751	SMPD2	2	0
HGLibB_07795	CCDC54	2	0
HGLibB_43109	SDR39U1	2	0
HGLibB_25870	LACC1	2	0
HGLibB_12388	DBR1	2	0
HGLibB_43562	SERTM1	1	0
HGLibB_43150	SEC14L5	2	0
HGLibB_03472	ATG16L1	2	0
HGLibB_30788	MYO1D	2	0
HGLibB_21234	HHIP	2	0
HGLibB_06757	C9orf78	2	0
HGLibB_02418	API5	2	0
HGLibB_33813	OR2T11	2	0
HGLibB_20707	H1FNT	2	0
HGLibB_29924	MRPL37	2	0
HGLibB_54607	YIPF2	2	0
HGLibB_01975	ANKLE2	2	0
HGLibB_01200	AGMO	1	0
HGLibB_49115	TFF3	2	0
HGLibB_43896	SH3GL2	2	0
HGLibB_50712	TNFRSF1B	2	0
HGLibB_02055	ANKRD29	2	2
HGLibB_41363	RNASE7	2	0
HGLibB_55965	ZNF454	2	2
HGLibB_58026	NonTargetingControlGuideForHuman_0998	2	4
HGLibB_57986	NonTargetingControlGuideForHuman_0958	2	0
HGLibB_33378	OPN1LW	2	0
HGLibB_18748	GCFC2	2	0
HGLibB_37439	POLB	2	0
HGLibB_43547	SERPINI2	2	0
HGLibB_52529	UBE2E1	2	0
HGLibB_43729	SFXN1	2	0
HGLibB_01281	AHCTF1	2	0
HGLibB_04424	BEST3	2	0
HGLibB_39898	RAB43	2	0
HGLibB_03805	ATPIF1	2	0
HGLibB_09604	CHST10	2	0
HGLibB_10029	CLINT1	2	0
